SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination_yrs,WhereBittenIDDesc,ResultsIDDesc,Year,Month,Day
DOG,,MALE,BLUE-GRAY-,1,HEAD,UNKNOWN,2010,4,18
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,4,19
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,4,19
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,4,19
DOG,,UNKNOWN,BLACK-WHT,,BODY,UNKNOWN,2010,4,19
DOG,,MALE,BLK-WHT,,BODY,UNKNOWN,2010,4,19
DOG,,MALE,DARK BRN,1,HEAD,UNKNOWN,2010,4,20
CAT,,UNKNOWN,,,BODY,UNKNOWN,2010,4,20
DOG,,UNKNOWN,BLK-WHT,,BODY,UNKNOWN,2010,4,20
DOG,,UNKNOWN,TAN,,BODY,UNKNOWN,2010,4,20
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,4,20
DOG,,UNKNOWN,BRN-BRINDL,1,BODY,UNKNOWN,2010,4,20
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,4,21
DOG,,FEMALE,TRI,,HEAD,UNKNOWN,2010,4,21
DOG,,FEMALE,BROWN,2,BODY,UNKNOWN,2010,4,21
DOG,,FEMALE,BROWN-WHT,1,HEAD,UNKNOWN,2010,4,21
DOG,,UNKNOWN,TRI,,BODY,UNKNOWN,2010,4,21
CAT,,MALE,GRAY-WHT,,BODY,UNKNOWN,2010,4,22
DOG,,FEMALE,WHITE,1,BODY,UNKNOWN,2010,4,22
CAT,,MALE,GRAY,1,BODY,UNKNOWN,2010,4,22
DOG,,MALE,BLK-WHT,1,BODY,UNKNOWN,2010,4,23
DOG,,MALE,BROWN-BLK,1,BODY,UNKNOWN,2010,4,23
DOG,,UNKNOWN,BLK-WHT,,BODY,UNKNOWN,2010,4,23
DOG,,FEMALE,BROWN,1,BODY,UNKNOWN,2010,4,24
DOG,,UNKNOWN,BL-BRINDLE,,BODY,UNKNOWN,2010,4,26
DOG,,UNKNOWN,,,BODY,UNKNOWN,2010,4,26
DOG,,UNKNOWN,BROWN-RED,,BODY,UNKNOWN,2010,4,26
DOG,,MALE,BROWN,1,HEAD,UNKNOWN,2010,4,27
DOG,,FEMALE,TRI,,BODY,UNKNOWN,2010,4,28
CAT,,UNKNOWN,BLONDE,1,BODY,UNKNOWN,2010,4,28
